Date,Price
11-Jun-18,66.1
8-Jun-18,65.77
7-Jun-18,65.96
6-Jun-18,64.75
5-Jun-18,65.51
4-Jun-18,64.76
1-Jun-18,65.81
31-May-18,66.98
30-May-18,68.24
29-May-18,66.8
25-May-18,67.92
24-May-18,70.77
23-May-18,71.85
22-May-18,72.09
21-May-18,72.26
18-May-18,71.23
17-May-18,71.47
16-May-18,71.43
15-May-18,71.34
14-May-18,71.01
11-May-18,70.69
10-May-18,71.36
9-May-18,71.16
8-May-18,68.83
7-May-18,70.74
4-May-18,69.71
3-May-18,68.45
2-May-18,67.91
1-May-18,67.28
30-Apr-18,68.56
27-Apr-18,68.11
26-Apr-18,68.18
25-Apr-18,68
24-Apr-18,67.66
23-Apr-18,67.61
20-Apr-18,68.26
19-Apr-18,68.3
18-Apr-18,68.44
17-Apr-18,66.5
16-Apr-18,66.23
13-Apr-18,67.35
12-Apr-18,67.07
11-Apr-18,66.81
10-Apr-18,65.48
9-Apr-18,63.4
6-Apr-18,62.03
5-Apr-18,63.53
4-Apr-18,63.35
3-Apr-18,63.41
2-Apr-18,63.05
29-Mar-18,64.87
28-Mar-18,64.3
27-Mar-18,65.21
26-Mar-18,65.49
23-Mar-18,65.8
22-Mar-18,64.25
21-Mar-18,65.1
20-Mar-18,63.37
19-Mar-18,62.01
16-Mar-18,62.29
15-Mar-18,61.16
14-Mar-18,60.89
13-Mar-18,60.69
12-Mar-18,61.35
9-Mar-18,62.02
8-Mar-18,60.13
7-Mar-18,61.09
6-Mar-18,62.54
5-Mar-18,62.49
2-Mar-18,61.19
1-Mar-18,60.98
28-Feb-18,61.43
27-Feb-18,62.94
26-Feb-18,63.81
23-Feb-18,63.52
22-Feb-18,62.72
21-Feb-18,61.73
20-Feb-18,61.91
16-Feb-18,61.89
15-Feb-18,61.48
14-Feb-18,60.7
13-Feb-18,59.33
12-Feb-18,59.41
9-Feb-18,59.2
8-Feb-18,61.3
7-Feb-18,61.91
6-Feb-18,63.48
5-Feb-18,64.18
2-Feb-18,65.5
1-Feb-18,65.92
31-Jan-18,64.82
30-Jan-18,64.64
29-Jan-18,65.71
26-Jan-18,66.27
25-Jan-18,65.62
24-Jan-18,65.69
23-Jan-18,64.45
22-Jan-18,63.66
19-Jan-18,63.38
18-Jan-18,63.96
17-Jan-18,63.92
16-Jan-18,63.82
12-Jan-18,64.22
11-Jan-18,63.81
10-Jan-18,63.6
9-Jan-18,62.92
8-Jan-18,61.73
5-Jan-18,61.49
4-Jan-18,61.98
3-Jan-18,61.61
2-Jan-18,60.37
