age,type-of-employment,hours-worked,occupation,Degree,Years of education,Martial-status,Race,Sex,Native Country,income-80k+
39,Government,40,Admins, Bachelors,16, Never-married, White, Male, United-States,0
50,Self-Employed,19,Professionals, Bachelors,16, Married-civ-spouse, White, Male, United-States,0
38,Private,40,Service, HS-grad,12, Divorced, White, Male, United-States,0
53,Private,40,Service, 11th,10, Married-civ-spouse, Black, Male, United-States,0
28,Private,40,Professionals, Bachelors,16, Married-civ-spouse, Black, Female, Cuba,0
37,Private,40,Professionals, Masters,17, Married-civ-spouse, White, Female, United-States,0
49,Private,19,Service, 9th,8, Married-spouse-absent, Black, Female, Jamaica,0
52,Self-Employed,40,Professionals, HS-grad,12, Married-civ-spouse, White, Male, United-States,1
31,Private,59,Professionals, Masters,17, Never-married, White, Female, United-States,1
42,Private,40,Professionals, Bachelors,16, Married-civ-spouse, White, Male, United-States,1
37,Private,61,Professionals, Some-college,13, Married-civ-spouse, Black, Male, United-States,1
30,Government,40,Professionals, Bachelors,16, Married-civ-spouse, Asian-Pac-Islander, Male, India,1
23,Private,39,Admins, Bachelors,16, Never-married, White, Female, United-States,0
32,Private,59,Sales, Assoc-acdm,15, Never-married, Black, Male, United-States,0
40,Private,40,Craft, Assoc-voc,14, Married-civ-spouse, Asian-Pac-Islander, Male, ?,1
34,Private,40,Logistics, 7th-8th,7, Married-civ-spouse, Amer-Indian-Eskimo, Male, Mexico,0
25,Self-Employed,39,Farming, HS-grad,12, Never-married, White, Male, United-States,0
32,Private,40,Technical, HS-grad,12, Never-married, White, Male, United-States,0
38,Private,59,Sales, 11th,10, Married-civ-spouse, White, Male, United-States,0
43,Self-Employed,40,Professionals, Masters,17, Divorced, White, Female, United-States,1
40,Private,61,Professionals, Doctorate,19, Married-civ-spouse, White, Male, United-States,1
54,Private,29,Service, HS-grad,12, Separated, Black, Female, United-States,0
35,Government,40,Farming, 9th,8, Married-civ-spouse, Black, Male, United-States,0
43,Private,40,Logistics, 11th,10, Married-civ-spouse, White, Male, United-States,0
59,Private,40,Technical, HS-grad,12, Divorced, White, Female, United-States,0
56,Government,40,Technical, Bachelors,16, Married-civ-spouse, White, Male, United-States,1
19,Private,40,Craft, HS-grad,12, Never-married, White, Male, United-States,0
54,Private,61,Service, Some-college,13, Married-civ-spouse, Asian-Pac-Islander, Male, South,1
39,Private,61,Professionals, HS-grad,12, Divorced, White, Male, United-States,0
49,Private,40,Craft, HS-grad,12, Married-civ-spouse, White, Male, United-States,0
23,Government,59,Security, Assoc-acdm,15, Never-married, White, Male, United-States,0
20,Private,40,Sales, Some-college,13, Never-married, Black, Male, United-States,0
45,Private,40,Professionals, Bachelors,16, Divorced, White, Male, United-States,0
30,Government,40,Admins, Some-college,13, Married-civ-spouse, White, Male, United-States,0
22,Government,19,Service, Some-college,13, Married-civ-spouse, Black, Male, United-States,0
48,Private,40,Technical, 11th,10, Never-married, White, Male, Puerto-Rico,0
21,Private,40,Technical, Some-college,13, Never-married, White, Male, United-States,0
19,Private,29,Admins, HS-grad,12, Married-AF-spouse, White, Female, United-States,0
31,Private,39,Sales, Some-college,13, Married-civ-spouse, White, Male, ?,1
48,Self-Employed,40,Professionals, Assoc-acdm,15, Married-civ-spouse, White, Male, United-States,0
31,Private,40,Technical, 9th,8, Married-civ-spouse, White, Male, United-States,0
53,Self-Employed,40,Professionals, Bachelors,16, Married-civ-spouse, White, Male, United-States,0
24,Private,59,Technical, Bachelors,16, Married-civ-spouse, White, Male, United-States,0
49,Private,40,Admins, HS-grad,12, Separated, White, Female, United-States,0
25,Private,39,Service, HS-grad,12, Never-married, White, Male, United-States,0
57,Government,40,Professionals, Bachelors,16, Married-civ-spouse, Black, Male, United-States,1
53,Private,39,Technical, HS-grad,12, Married-civ-spouse, White, Male, United-States,0
44,Private,40,Professionals, Masters,17, Divorced, White, Female, United-States,0
41,Government,40,Craft, Assoc-voc,14, Married-civ-spouse, White, Male, United-States,0
29,Private,40,Professionals, Assoc-voc,14, Never-married, White, Male, United-States,0
25,Private,40,Professionals, Some-college,13, Married-civ-spouse, Other, Female, United-States,0
18,Private,39,Service, HS-grad,12, Never-married, White, Female, ?,0
47,Private,61,Professionals, Prof-school,18, Married-civ-spouse, White, Female, Honduras,1
50,Government,59,Professionals, Bachelors,16, Divorced, White, Male, United-States,1
